Crime Type,Area,Date,Time,Severity,Crime Description,Victim Age,Police Station,Weather Condition,Time of Day,Incident Reported
Harassment,Vasant Kunj,2024-11-29,14:20:00,High,Machine around worry exist treatment to.,51,Vasant Kunj PS,Clear,Afternoon,Citizen
Burglary,Janakpuri,2024-12-13,17:13:00,Low,Hard bag save rise lose expect tend.,50,Janakpuri PS,Clear,Night,Citizen
Stalking,Sarojini Nagar,2023-07-05,08:11:11,Medium,Eye according summer serious dinner.,20,Sarojini Nagar PS,Clear,Morning,Police
Stalking,Laxmi Nagar,2024-06-13,00:07:40,Medium,From before about way hold else ball factor yet project.,52,Laxmi Nagar PS,Clear,Afternoon,Police
Theft,Greater Kailash,2024-01-11,06:55:17,Medium,Marriage politics three brother someone.,34,Greater Kailash PS,Rainy,Afternoon,Police
Theft,Chandni Chowk,2023-02-23,21:20:42,High,Loss stuff sound media age.,38,Chandni Chowk PS,Rainy,Night,Citizen
Kidnapping,Paharganj,2023-09-22,00:45:55,Low,Teach last large important glass ahead skill other carry act.,12,Paharganj PS,Foggy,Morning,Citizen
Harassment,Okhla,2025-01-03,11:46:53,Low,Finish interest or four card close check.,49,Okhla PS,Cloudy,Morning,Citizen
Kidnapping,Okhla,2023-08-30,14:26:26,Medium,Believe future black fund happy a movie travel determine heart.,49,Okhla PS,Foggy,Morning,Citizen
Assault,Laxmi Nagar,2024-03-07,19:31:45,Low,Remember act discussion operation.,38,Laxmi Nagar PS,Rainy,Night,Citizen
Stalking,Rajouri Garden,2023-04-26,16:12:42,High,Cut over team ready send lot.,68,Rajouri Garden PS,Cloudy,Morning,Police
Theft,Ashok Vihar,2024-04-15,03:08:01,Low,Somebody particular American level seat draw spring table owner attorney area.,55,Ashok Vihar PS,Foggy,Night,Police
Theft,Karol Bagh,2023-11-24,02:42:44,Medium,Explain major away scientist more spring evening including center.,56,Karol Bagh PS,Rainy,Morning,Police
Stalking,Greater Kailash,2024-05-30,14:45:49,High,Design first away under after on since street baby.,42,Greater Kailash PS,Rainy,Night,Police
Theft,Greater Kailash,2024-02-06,00:04:32,High,Media company effort professional one determine same.,49,Greater Kailash PS,Cloudy,Evening,CCTV
Kidnapping,Ashok Vihar,2024-10-17,22:13:26,Medium,Few policy traditional most since open carry old.,13,Ashok Vihar PS,Cloudy,Evening,CCTV
Kidnapping,Dwarka,2024-06-21,15:30:36,Low,Success PM treatment fear relate group enough well.,39,Dwarka PS,Rainy,Evening,CCTV
Burglary,Lajpat Nagar,2024-08-21,11:52:06,Medium,Amount offer film between follow color organization authority.,41,Lajpat Nagar PS,Cloudy,Evening,CCTV
Stalking,Rohini,2024-10-30,13:33:57,High,Management our those focus bit.,38,Rohini PS,Foggy,Evening,CCTV
Burglary,Saket,2024-02-08,23:55:05,Medium,Leg happy leave dog easy ten two.,59,Saket PS,Cloudy,Afternoon,CCTV
Harassment,Karol Bagh,2024-12-18,19:20:53,Medium,Risk federal accept lose same factor floor successful.,69,Karol Bagh PS,Clear,Afternoon,Citizen
Burglary,Rohini,2024-02-12,15:10:00,Medium,Analysis bar sister edge type about.,56,Rohini PS,Cloudy,Morning,Police
Kidnapping,Okhla,2024-09-06,08:20:26,Medium,Perhaps now describe Congress drug hit.,59,Okhla PS,Clear,Afternoon,Police
Assault,Rohini,2024-10-15,21:29:30,Medium,Take growth interesting themselves safe they scene choose.,49,Rohini PS,Rainy,Morning,Citizen
Harassment,Karol Bagh,2024-07-08,02:16:06,Low,Kitchen daughter nearly compare or whether really.,43,Karol Bagh PS,Clear,Afternoon,CCTV
Stalking,Rajouri Garden,2024-10-31,12:30:42,Medium,Once contain call relate way certain while receive because shake.,69,Rajouri Garden PS,Foggy,Night,CCTV
Harassment,Saket,2024-10-02,02:33:40,High,Why heavy west enjoy expect mind foreign brother.,23,Saket PS,Foggy,Evening,Police
Kidnapping,Rajouri Garden,2024-02-24,14:27:27,Medium,Buy yeah deep beyond fact.,36,Rajouri Garden PS,Rainy,Night,Citizen
Assault,Pitampura,2024-10-18,23:00:50,High,Watch voice national civil institution blue bill.,53,Pitampura PS,Cloudy,Night,CCTV
Kidnapping,Greater Kailash,2024-05-08,17:45:00,Medium,Everything serve individual believe yes black investment strategy player physical.,56,Greater Kailash PS,Clear,Night,Police
Assault,Hauz Khas,2023-11-14,10:25:06,Medium,Reach artist type eat Democrat between property.,27,Hauz Khas PS,Clear,Afternoon,CCTV
Burglary,Janakpuri,2024-05-13,04:10:51,Low,From teacher material rich item stay well structure decision.,26,Janakpuri PS,Foggy,Evening,Citizen
Stalking,Chandni Chowk,2025-01-16,14:34:59,High,Scene energy military hit weight.,35,Chandni Chowk PS,Foggy,Night,CCTV
Assault,Saket,2023-04-17,06:20:09,Low,Including allow high contain consumer protect rich.,48,Saket PS,Clear,Morning,Citizen
Harassment,Sarojini Nagar,2023-09-13,19:05:32,Medium,Thing later summer step task less character ever.,60,Sarojini Nagar PS,Cloudy,Morning,CCTV
Assault,Saket,2023-02-20,20:41:25,High,Environment hotel water use exactly despite sort agent about.,67,Saket PS,Cloudy,Afternoon,CCTV
Assault,Janakpuri,2023-09-15,20:14:39,High,Little trial method his group result ask note statement.,11,Janakpuri PS,Clear,Morning,Police
Kidnapping,Dwarka,2024-06-18,23:47:42,Medium,Method mind enter name risk test what during see meeting.,16,Dwarka PS,Cloudy,Afternoon,Citizen
Stalking,Dwarka,2024-12-24,10:39:51,Medium,Ready throw down same I yes community which center tough.,65,Dwarka PS,Rainy,Morning,Police
Assault,Laxmi Nagar,2023-02-16,14:05:34,Low,Policy mission walk she issue wear.,16,Laxmi Nagar PS,Rainy,Night,Police
Burglary,Sarojini Nagar,2025-01-08,11:12:15,Low,Employee produce fish focus between.,52,Sarojini Nagar PS,Rainy,Morning,CCTV
Burglary,Janakpuri,2024-04-27,19:35:40,Medium,Night position apply pass official computer.,51,Janakpuri PS,Rainy,Evening,Police
Theft,Sarojini Nagar,2024-02-02,19:41:02,High,Produce mouth evening of rich always agency according base writer.,45,Sarojini Nagar PS,Rainy,Night,CCTV
Theft,Pitampura,2024-02-26,17:24:11,High,Clearly draw reflect network give knowledge show.,59,Pitampura PS,Cloudy,Night,Citizen
Stalking,Sarojini Nagar,2023-04-09,12:08:55,Medium,Plant serve late administration personal energy development.,20,Sarojini Nagar PS,Foggy,Morning,Citizen
Assault,Khan Market,2023-03-26,03:58:15,High,Industry write including adult five address.,48,Khan Market PS,Clear,Evening,Citizen
Harassment,Rajouri Garden,2023-05-29,13:13:19,Medium,Along home true pull whose exactly mean enjoy from house.,27,Rajouri Garden PS,Rainy,Night,Police
Theft,Chandni Chowk,2023-03-25,07:43:40,Medium,Perform example player protect paper coach.,21,Chandni Chowk PS,Clear,Morning,Citizen
Kidnapping,Greater Kailash,2025-01-11,10:00:48,High,Coach be item raise trade identify.,67,Greater Kailash PS,Rainy,Evening,Citizen
Theft,Sarojini Nagar,2023-10-27,17:06:03,Medium,Fire play probably movement policy or attorney Mr ahead.,45,Sarojini Nagar PS,Clear,Afternoon,CCTV
Harassment,Saket,2023-12-11,12:22:37,Low,Local serious sense hold system smile.,51,Saket PS,Cloudy,Morning,Citizen
Kidnapping,Greater Kailash,2024-05-09,05:56:31,High,Or stock trouble give skill manage push benefit upon.,69,Greater Kailash PS,Foggy,Evening,Citizen
Burglary,Sarojini Nagar,2024-04-17,16:42:25,Medium,Receive act clearly couple imagine amount pick cultural eat.,23,Sarojini Nagar PS,Foggy,Evening,Police
Stalking,Janakpuri,2023-09-15,22:00:45,Medium,Quality person structure leave student.,47,Janakpuri PS,Clear,Morning,CCTV
Burglary,Greater Kailash,2023-10-14,02:00:14,High,Avoid loss this rate measure consumer.,52,Greater Kailash PS,Clear,Night,Police
Harassment,Sarojini Nagar,2023-05-25,05:35:06,Low,Ground religious can significant never guess.,69,Sarojini Nagar PS,Foggy,Morning,CCTV
Assault,Rajouri Garden,2023-03-29,22:44:28,High,Affect job focus hot sing bad beyond arm lose rule.,63,Rajouri Garden PS,Clear,Night,Citizen
Stalking,Karol Bagh,2024-12-06,02:32:36,Low,Likely meeting station need quite over color there.,16,Karol Bagh PS,Foggy,Evening,CCTV
Kidnapping,Connaught Place,2024-06-23,09:52:05,High,Hard art age eat western.,57,Connaught Place PS,Clear,Night,CCTV
Kidnapping,Saket,2024-07-26,09:36:48,Medium,Mention society while then return however when with call approach.,13,Saket PS,Rainy,Evening,Citizen
Harassment,Karol Bagh,2024-02-15,08:12:09,Low,Why test perform with position magazine address find.,52,Karol Bagh PS,Clear,Night,Police
Stalking,Karol Bagh,2023-04-08,14:51:47,Low,Staff night early point end important and also feeling personal.,12,Karol Bagh PS,Rainy,Night,Police
Stalking,Chandni Chowk,2023-09-12,04:56:58,Medium,Establish discover discover include reveal occur information indeed.,56,Chandni Chowk PS,Foggy,Afternoon,CCTV
Kidnapping,Janakpuri,2023-04-26,05:56:38,High,Walk movement training eight meet help bad story stay population.,70,Janakpuri PS,Foggy,Night,Police
Kidnapping,Connaught Place,2024-07-26,17:30:47,Low,Lawyer news imagine billion individual support pull rock.,65,Connaught Place PS,Rainy,Afternoon,Police
Harassment,Saket,2024-10-02,09:43:45,High,Face factor without president see serve.,37,Saket PS,Cloudy,Evening,CCTV
Burglary,Janakpuri,2023-04-11,22:22:42,Medium,Direction claim day front leader ago happy opportunity affect maybe.,24,Janakpuri PS,Clear,Night,CCTV
Stalking,Chandni Chowk,2023-02-05,21:15:30,High,Natural available edge two leave civil such collection trade.,34,Chandni Chowk PS,Rainy,Evening,Citizen
Stalking,Rohini,2024-10-03,20:33:13,High,Kitchen heavy low feel anyone kitchen notice executive base speak.,48,Rohini PS,Cloudy,Night,Police
Stalking,Hauz Khas,2024-12-17,23:23:07,Low,Song science product too loss.,44,Hauz Khas PS,Cloudy,Morning,Police
Theft,Sarojini Nagar,2024-02-08,17:19:43,Medium,Crime wonder future skin analysis police few.,30,Sarojini Nagar PS,Foggy,Evening,CCTV
Burglary,Janakpuri,2023-03-22,09:03:29,Medium,Rather end billion play grow could television move.,28,Janakpuri PS,Clear,Morning,Citizen
Stalking,Chandni Chowk,2024-11-07,18:02:39,High,Nation cost life let.,29,Chandni Chowk PS,Cloudy,Afternoon,CCTV
Theft,Vasant Kunj,2023-06-18,10:26:12,High,Someone his voice space onto pressure civil sign federal.,54,Vasant Kunj PS,Clear,Afternoon,Citizen
Assault,Paharganj,2024-02-12,07:34:12,High,Officer name color before conference this model pick memory.,18,Paharganj PS,Clear,Night,Citizen
Theft,Janakpuri,2024-10-20,13:26:25,High,Social general call news value out long.,29,Janakpuri PS,Clear,Morning,CCTV
Theft,Hauz Khas,2024-10-29,15:41:36,Low,Describe strategy until claim little worry trial medical history build.,62,Hauz Khas PS,Clear,Night,Police
Stalking,Rajouri Garden,2024-11-10,06:58:16,High,Behavior seven head ago dog pretty much more page discover material.,67,Rajouri Garden PS,Cloudy,Afternoon,CCTV
Assault,Okhla,2024-03-12,05:12:03,Low,Choice could bad term address sometimes.,49,Okhla PS,Clear,Morning,CCTV
Burglary,Paharganj,2024-11-15,07:51:38,Medium,Social assume remember any notice data plan money.,57,Paharganj PS,Clear,Afternoon,CCTV
Assault,Rajouri Garden,2023-05-14,06:37:43,High,Board music cause north.,13,Rajouri Garden PS,Clear,Morning,Police
Harassment,Laxmi Nagar,2025-01-21,21:38:28,Low,Ago lay senior low it probably form paper recognize.,24,Laxmi Nagar PS,Foggy,Evening,CCTV
Assault,Chandni Chowk,2023-02-19,17:13:47,Medium,Sign radio tax into play dream pressure.,37,Chandni Chowk PS,Foggy,Afternoon,Police
Harassment,Greater Kailash,2023-08-04,12:50:35,High,Clearly financial staff newspaper artist.,57,Greater Kailash PS,Cloudy,Afternoon,CCTV
Burglary,Vasant Kunj,2023-03-20,20:18:27,Medium,Answer easy difference employee again city feeling happen up.,17,Vasant Kunj PS,Cloudy,Morning,Police
Assault,Dwarka,2024-07-25,12:32:42,Low,Politics Congress entire here himself nation boy themselves.,47,Dwarka PS,Rainy,Night,Citizen
Harassment,Khan Market,2023-03-15,13:34:44,Low,Us piece bag especially my model election word message.,30,Khan Market PS,Cloudy,Morning,CCTV
Stalking,Rohini,2023-10-08,11:39:09,Medium,Well behind method quality enjoy dark daughter case throughout white.,12,Rohini PS,Foggy,Morning,Citizen
Burglary,Janakpuri,2023-07-11,08:38:08,High,Value foot top style fact total onto test writer oil day.,48,Janakpuri PS,Foggy,Evening,Police
Stalking,Laxmi Nagar,2024-09-23,00:08:33,Medium,International between concern rock positive relationship situation south teacher should.,68,Laxmi Nagar PS,Cloudy,Afternoon,CCTV
Harassment,Okhla,2023-11-04,23:55:47,High,Hold region economic upon value particular have.,61,Okhla PS,Rainy,Afternoon,Citizen
Kidnapping,Saket,2024-02-26,09:53:36,Medium,Foot condition style I appear city and.,13,Saket PS,Cloudy,Afternoon,Police
Kidnapping,Sarojini Nagar,2024-05-04,03:17:47,Low,Whose produce character catch Democrat.,54,Sarojini Nagar PS,Foggy,Morning,Police
Burglary,Rohini,2023-08-08,14:00:28,High,Power stuff point physical alone give.,29,Rohini PS,Cloudy,Night,Police
Harassment,Pitampura,2023-07-31,09:16:31,Medium,Hope clear place next nearly act help.,38,Pitampura PS,Clear,Morning,Police
Harassment,Hauz Khas,2023-05-01,03:26:52,Low,Anything high quite tough fear worker size.,29,Hauz Khas PS,Rainy,Afternoon,Police
Theft,Dwarka,2024-12-06,20:32:05,Medium,Line win partner real child great during us whose herself.,23,Dwarka PS,Rainy,Evening,Police
Harassment,Hauz Khas,2024-03-07,03:22:17,High,Right hair then glass ball within production either process.,35,Hauz Khas PS,Rainy,Evening,Citizen
Assault,Okhla,2025-01-16,13:50:11,Medium,Tax strong sell five sister feel free teach deal realize.,39,Okhla PS,Foggy,Morning,Citizen
Harassment,Okhla,2023-05-29,15:51:49,Low,Half today color against region serious.,53,Okhla PS,Rainy,Afternoon,CCTV
Stalking,Ashok Vihar,2024-04-01,02:38:21,High,For air side stop ever cultural big around.,22,Ashok Vihar PS,Foggy,Afternoon,Citizen
Theft,Janakpuri,2023-07-19,18:48:12,Low,Better trouble federal develop could.,67,Janakpuri PS,Foggy,Afternoon,Police
Stalking,Lajpat Nagar,2023-09-17,03:12:39,Low,Quite sport rather plan strong owner relationship possible.,35,Lajpat Nagar PS,Rainy,Afternoon,Police
Assault,Janakpuri,2024-08-28,03:47:38,Low,Entire medical song economic close century who college.,15,Janakpuri PS,Cloudy,Night,Citizen
Assault,Lajpat Nagar,2023-09-21,17:39:16,High,Increase significant business test between rather writer.,36,Lajpat Nagar PS,Foggy,Evening,Citizen
Stalking,Khan Market,2024-05-20,17:34:05,Medium,Machine house leg west stuff you magazine.,14,Khan Market PS,Cloudy,Evening,CCTV
Kidnapping,Sarojini Nagar,2024-04-27,22:33:56,Low,Kid writer economic growth with scene.,55,Sarojini Nagar PS,Foggy,Afternoon,Police
Assault,Laxmi Nagar,2023-05-09,16:38:34,Low,Hospital account eight treatment soon people knowledge rise national.,12,Laxmi Nagar PS,Clear,Evening,Police
Kidnapping,Sarojini Nagar,2024-04-27,02:12:27,High,Guess enough her focus point buy argue street building next.,18,Sarojini Nagar PS,Foggy,Evening,Police
Stalking,Saket,2024-04-23,07:56:45,Low,Network tough next possible benefit material social radio three reflect.,69,Saket PS,Rainy,Afternoon,Police
Theft,Laxmi Nagar,2023-06-14,05:40:28,Low,Still thousand Democrat record hundred rich.,67,Laxmi Nagar PS,Foggy,Morning,CCTV
Theft,Sarojini Nagar,2024-08-17,15:11:03,Medium,Relationship election friend ability.,64,Sarojini Nagar PS,Cloudy,Morning,Citizen
Burglary,Mayur Vihar,2024-02-04,00:57:18,Medium,Speak think federal over face.,16,Mayur Vihar PS,Rainy,Evening,CCTV
Assault,Rohini,2023-04-03,04:47:54,High,Somebody measure particularly month which indeed describe building type.,58,Rohini PS,Rainy,Evening,CCTV
Burglary,Sarojini Nagar,2023-03-31,05:04:01,High,Man hard identify order.,13,Sarojini Nagar PS,Clear,Morning,Police
Burglary,Connaught Place,2024-09-21,02:41:56,Low,Building though enjoy trial spring bad reach stand possible rock.,53,Connaught Place PS,Clear,Night,CCTV
Theft,Paharganj,2023-05-17,22:42:19,Medium,Argue much ok itself soldier term rise but upon leg.,26,Paharganj PS,Rainy,Night,Citizen
Stalking,Rajouri Garden,2024-08-11,00:08:18,Low,Camera owner bring throughout much camera.,16,Rajouri Garden PS,Rainy,Afternoon,CCTV
Kidnapping,Khan Market,2024-10-08,17:11:36,Medium,Along best often discussion family.,21,Khan Market PS,Foggy,Morning,Citizen
Assault,Chandni Chowk,2024-10-18,19:02:33,High,New else though whole end yeah see administration standard old.,63,Chandni Chowk PS,Cloudy,Afternoon,Police
Assault,Hauz Khas,2024-07-31,20:17:54,High,Industry human piece station serious ever recent kitchen.,42,Hauz Khas PS,Rainy,Night,Citizen
Burglary,Saket,2023-09-21,22:19:17,Medium,Democratic anything everybody southern very sign challenge window.,30,Saket PS,Clear,Morning,Police
Burglary,Connaught Place,2024-02-03,14:14:50,Medium,Same cold attack of check.,43,Connaught Place PS,Cloudy,Night,Citizen
Assault,Janakpuri,2024-03-04,20:26:37,High,Project answer share agent.,70,Janakpuri PS,Clear,Afternoon,Police
Theft,Rohini,2023-11-04,19:48:53,High,As model act allow bar cause in issue.,36,Rohini PS,Cloudy,Morning,Police
Stalking,Rohini,2024-09-22,09:35:56,High,Sea help black usually through decade condition candidate.,35,Rohini PS,Cloudy,Morning,Citizen
Kidnapping,Ashok Vihar,2023-09-28,08:07:22,Medium,Collection man cause customer per music may late performance.,12,Ashok Vihar PS,Cloudy,Evening,Police
Theft,Greater Kailash,2023-05-20,12:43:33,High,Learn vote do say thought article direction turn foot.,20,Greater Kailash PS,Clear,Evening,Citizen
Kidnapping,Rohini,2023-05-22,04:59:26,Medium,Mouth could effort serious staff maintain.,19,Rohini PS,Foggy,Night,Police
Theft,Vasant Kunj,2024-08-22,06:25:58,High,Man build image improve able.,45,Vasant Kunj PS,Rainy,Morning,Citizen
Stalking,Lajpat Nagar,2023-11-16,12:08:40,Low,Everybody which raise glass mind.,40,Lajpat Nagar PS,Cloudy,Evening,Police
Theft,Sarojini Nagar,2023-10-10,15:32:02,High,Top ago subject tell example break.,49,Sarojini Nagar PS,Rainy,Night,CCTV
Kidnapping,Laxmi Nagar,2024-09-29,17:49:40,Medium,Less cut success food consider somebody standard develop our.,19,Laxmi Nagar PS,Foggy,Evening,CCTV
Harassment,Okhla,2024-02-11,21:36:08,Low,Adult pay black time young.,22,Okhla PS,Cloudy,Afternoon,Police
Kidnapping,Janakpuri,2023-06-09,19:56:01,Low,Whose line measure stuff early various build.,31,Janakpuri PS,Clear,Night,Police
Stalking,Rohini,2024-04-07,06:26:36,Medium,Last time process cell set foot best once.,40,Rohini PS,Cloudy,Evening,Citizen
Burglary,Lajpat Nagar,2023-09-20,11:59:46,High,Industry actually let way career capital necessary.,39,Lajpat Nagar PS,Cloudy,Afternoon,Police
Kidnapping,Sarojini Nagar,2023-11-21,13:46:49,Low,Thus activity drug grow white man happy.,51,Sarojini Nagar PS,Cloudy,Evening,Police
Kidnapping,Lajpat Nagar,2024-04-25,23:42:35,High,Economic standard imagine employee trip bill trial mean under anyone Democrat.,65,Lajpat Nagar PS,Foggy,Evening,Police
Burglary,Dwarka,2023-08-14,05:38:59,Medium,Before fire painting sure from offer.,24,Dwarka PS,Clear,Night,CCTV
Assault,Chandni Chowk,2024-01-31,19:53:57,Medium,Benefit dog five generation.,62,Chandni Chowk PS,Foggy,Night,CCTV
Assault,Greater Kailash,2024-06-06,02:49:13,Low,Here house finally relate local when.,51,Greater Kailash PS,Foggy,Night,CCTV
Harassment,Hauz Khas,2024-08-27,05:22:23,High,Contain should word minute once final one.,35,Hauz Khas PS,Cloudy,Evening,Police
Kidnapping,Khan Market,2023-09-30,16:16:29,Low,Stay south law near surface produce political quality save.,37,Khan Market PS,Clear,Morning,Citizen
Burglary,Dwarka,2024-05-13,07:54:28,Medium,Impact improve provide while wall several special focus middle consider.,64,Dwarka PS,Cloudy,Evening,Police
Assault,Lajpat Nagar,2023-03-22,07:52:34,High,Boy story movement product bad shoulder agency around.,14,Lajpat Nagar PS,Cloudy,Evening,Police
Assault,Hauz Khas,2023-04-22,04:34:47,Medium,Question suddenly bill traditional cover television.,24,Hauz Khas PS,Cloudy,Night,Police
Stalking,Paharganj,2024-10-11,12:25:28,High,Other box hundred think establish.,62,Paharganj PS,Foggy,Night,Police
Assault,Greater Kailash,2024-01-06,20:01:41,Medium,Ahead morning respond learn couple participant daughter.,37,Greater Kailash PS,Clear,Evening,CCTV
Harassment,Rohini,2023-10-20,22:39:44,Low,Never sell citizen right collection difficult spend local structure.,27,Rohini PS,Cloudy,Evening,Police
Burglary,Chandni Chowk,2024-10-17,13:35:17,Medium,Somebody matter sing whatever military ability grow on.,61,Chandni Chowk PS,Clear,Evening,CCTV
Burglary,Pitampura,2023-08-22,05:17:05,High,Believe huge produce health assume rule.,11,Pitampura PS,Clear,Afternoon,Police
Assault,Janakpuri,2023-07-30,04:28:22,Medium,None style a politics sport talk continue large ago consumer.,17,Janakpuri PS,Rainy,Night,Citizen
Stalking,Sarojini Nagar,2024-04-02,01:01:56,Medium,Husband partner rock reason bit.,70,Sarojini Nagar PS,Foggy,Night,CCTV
Assault,Dwarka,2024-06-30,13:48:02,High,Need agent pick top professor.,17,Dwarka PS,Clear,Afternoon,Police
Theft,Ashok Vihar,2025-01-19,07:31:00,Medium,Bad report street service newspaper need deep science thought four.,11,Ashok Vihar PS,Rainy,Night,CCTV
Theft,Sarojini Nagar,2024-02-14,13:30:57,Low,Listen light successful especially.,34,Sarojini Nagar PS,Foggy,Afternoon,Citizen
Burglary,Paharganj,2024-03-31,04:38:54,Medium,Whose two every sell phone whom effort one.,53,Paharganj PS,Rainy,Night,Police
Kidnapping,Lajpat Nagar,2023-03-23,02:55:29,Low,Common model some member doctor professional total tough say.,33,Lajpat Nagar PS,Cloudy,Evening,CCTV
Harassment,Rohini,2024-08-25,13:08:09,Medium,Method begin others character finish follow positive.,54,Rohini PS,Clear,Afternoon,Citizen
Theft,Lajpat Nagar,2024-10-29,03:58:56,Medium,Season visit book contain phone three PM but.,45,Lajpat Nagar PS,Clear,Afternoon,Citizen
Theft,Vasant Kunj,2023-03-01,16:12:39,Medium,Dark instead tax much ability set sure.,12,Vasant Kunj PS,Rainy,Afternoon,Police
Kidnapping,Sarojini Nagar,2023-08-26,18:07:39,Medium,Pay game example successful child newspaper long collection.,28,Sarojini Nagar PS,Cloudy,Night,Citizen
Kidnapping,Hauz Khas,2024-04-24,05:00:00,High,Strategy local listen cold reach perhaps almost safe wait could.,36,Hauz Khas PS,Rainy,Evening,Police
Burglary,Pitampura,2023-08-12,21:32:58,Low,Political during team PM some create increase soon catch.,36,Pitampura PS,Clear,Afternoon,Citizen
Kidnapping,Khan Market,2025-01-17,01:07:31,High,Form wind value action religious democratic up.,28,Khan Market PS,Rainy,Evening,Citizen
Harassment,Lajpat Nagar,2023-06-08,22:57:38,High,Group first need lawyer his matter glass.,36,Lajpat Nagar PS,Foggy,Night,CCTV
Harassment,Greater Kailash,2025-01-14,15:32:01,High,Agent contain student walk for which town world.,28,Greater Kailash PS,Rainy,Afternoon,CCTV
Assault,Paharganj,2025-01-16,19:41:48,Low,Cover me look must point dog.,45,Paharganj PS,Foggy,Morning,Police
Theft,Dwarka,2023-11-18,21:06:53,High,Air network Mr week Congress up in get eye six.,42,Dwarka PS,Cloudy,Afternoon,CCTV
Stalking,Rohini,2024-10-15,15:15:30,Medium,Rule per cause rest civil thousand hot about.,29,Rohini PS,Clear,Evening,CCTV
Kidnapping,Saket,2024-01-18,04:56:30,High,Boy know common others Republican create energy important hotel.,66,Saket PS,Clear,Night,CCTV
Kidnapping,Rohini,2023-11-14,23:45:27,High,Page out order politics Republican information young whole our.,54,Rohini PS,Cloudy,Night,Police
Kidnapping,Hauz Khas,2024-08-18,15:22:26,High,Community unit then candidate friend speak the talk official safe.,43,Hauz Khas PS,Clear,Night,Police
Burglary,Pitampura,2023-09-16,13:35:35,Low,Campaign would discover talk start cup imagine meeting wonder product court.,43,Pitampura PS,Rainy,Morning,CCTV
Stalking,Rajouri Garden,2024-02-02,08:04:33,Medium,Standard education game strategy fight.,14,Rajouri Garden PS,Rainy,Morning,CCTV
Harassment,Ashok Vihar,2023-08-15,00:33:16,High,Middle move throughout technology its.,63,Ashok Vihar PS,Cloudy,Morning,CCTV
Kidnapping,Connaught Place,2023-06-28,12:04:04,High,Lawyer while score sit low meet exactly.,14,Connaught Place PS,Cloudy,Afternoon,CCTV
Assault,Paharganj,2024-06-21,18:19:15,Low,Society floor within smile build agreement how.,42,Paharganj PS,Foggy,Night,CCTV
Burglary,Vasant Kunj,2024-09-28,11:03:57,Medium,Hair reach draw former street building.,29,Vasant Kunj PS,Clear,Night,Citizen
Harassment,Laxmi Nagar,2023-08-03,01:12:05,Low,Challenge group factor sea exist.,32,Laxmi Nagar PS,Rainy,Evening,CCTV
Harassment,Janakpuri,2024-08-07,03:06:45,Medium,Hotel article so something strong see remember use myself new.,69,Janakpuri PS,Cloudy,Morning,Police
Burglary,Laxmi Nagar,2023-06-05,03:00:42,Medium,Case across he box message then upon.,58,Laxmi Nagar PS,Cloudy,Evening,Police
Kidnapping,Khan Market,2024-03-07,06:10:48,Medium,Only movement to woman should letter message.,37,Khan Market PS,Clear,Night,Police
Assault,Vasant Kunj,2024-12-16,05:29:38,Medium,Radio could rate various.,50,Vasant Kunj PS,Rainy,Night,Citizen
Burglary,Rajouri Garden,2024-07-01,23:43:05,Low,Left war kind so thought table skin affect.,39,Rajouri Garden PS,Foggy,Night,Citizen
Harassment,Laxmi Nagar,2025-01-23,12:52:34,High,Up do safe boy star unit page answer some.,18,Laxmi Nagar PS,Clear,Night,Citizen
Theft,Sarojini Nagar,2024-12-29,17:22:23,Medium,Explain assume it part campaign.,46,Sarojini Nagar PS,Cloudy,Morning,Citizen
Kidnapping,Rohini,2024-12-15,19:05:52,Medium,Much simple drop behind build old base another PM.,14,Rohini PS,Foggy,Night,CCTV
Harassment,Khan Market,2023-03-20,21:10:12,Medium,Whole of important general show into arrive.,56,Khan Market PS,Clear,Morning,CCTV
Stalking,Sarojini Nagar,2024-01-07,16:38:53,Medium,Itself decide before player create even.,40,Sarojini Nagar PS,Rainy,Night,CCTV
Stalking,Khan Market,2023-06-23,16:51:10,Low,Market add visit meeting project truth notice way.,21,Khan Market PS,Cloudy,Night,Police
Kidnapping,Laxmi Nagar,2024-06-14,08:36:31,High,Free camera those determine wall agree rule hot enough.,51,Laxmi Nagar PS,Clear,Night,CCTV
Harassment,Lajpat Nagar,2024-06-18,14:44:20,High,Join act husband both question.,56,Lajpat Nagar PS,Cloudy,Night,Citizen
Burglary,Greater Kailash,2024-06-06,02:15:10,Medium,For keep can buy place second for seven appear amount.,60,Greater Kailash PS,Clear,Afternoon,Citizen
Assault,Vasant Kunj,2024-05-06,18:16:07,Medium,Ground set serious whose any read relationship reason with.,37,Vasant Kunj PS,Rainy,Night,Citizen
Harassment,Vasant Kunj,2024-01-19,06:24:23,High,How standard form perhaps idea loss form.,19,Vasant Kunj PS,Cloudy,Morning,Citizen
Harassment,Saket,2023-07-10,11:18:08,Medium,Kind cost former include physical reach.,69,Saket PS,Foggy,Night,Citizen
Assault,Chandni Chowk,2023-02-11,03:46:42,Low,Check theory edge lay suddenly sea or.,34,Chandni Chowk PS,Foggy,Evening,Citizen
Burglary,Khan Market,2023-05-22,02:13:35,Low,Simple popular human western since skin candidate indeed mean while.,20,Khan Market PS,Foggy,Afternoon,Police
