id,text,location,date,sentiment
501,NGOs held an awareness campaign in Connaught Place.,Dwarka,2023-03-08,Neutral
502,Lack of proper street lighting makes Chandni Chowk unsafe.,Chandni Chowk,2023-07-22,Negative
503,Public transport usage among women has remained stable this year.,Pitampura,2023-02-20,Neutral
504,Public transport usage among women has remained stable this year.,Pitampura,2023-11-13,Neutral
505,The metro is the preferred mode of transport for women in Delhi.,Rajouri Garden,2023-02-17,Neutral
506,Police response to complaints in Rohini remains slow.,Chandni Chowk,2023-05-27,Negative
507,New mobile app helps women report harassment instantly.,Greater Kailash,2023-12-10,Positive
508,Recent survey shows rising fear among women in Delhi.,Greater Kailash,2023-01-29,Negative
509,Increased patrolling has reduced crime rates in Karol Bagh.,Karol Bagh,2023-05-03,Positive
510,New mobile app helps women report harassment instantly.,Connaught Place,2023-07-14,Positive
511,Traffic congestion continues to be an issue across Delhi.,Mayur Vihar,2023-08-23,Neutral
512,Police response to complaints in Rohini remains slow.,Hauz Khas,2023-10-11,Negative
513,Recent survey shows rising fear among women in Delhi.,Lajpat Nagar,2023-12-18,Negative
514,Self-defense workshops for women are gaining popularity in Hauz Khas.,Rajouri Garden,2023-04-05,Positive
515,Recent survey shows rising fear among women in Delhi.,Rohini,2023-06-26,Negative
516,Increased patrolling has reduced crime rates in Karol Bagh.,Karol Bagh,2023-07-20,Positive
517,Women safety measures were discussed in the Delhi Assembly.,Mayur Vihar,2023-01-29,Neutral
518,Women safety measures were discussed in the Delhi Assembly.,Dwarka,2023-02-19,Neutral
519,Traffic congestion continues to be an issue across Delhi.,Rohini,2023-05-17,Neutral
520,More street lights installed in Dwarka to improve safety.,Saket,2023-10-31,Positive
521,Women safety measures were discussed in the Delhi Assembly.,Rohini,2023-10-23,Neutral
522,Police response to complaints in Rohini remains slow.,Chandni Chowk,2023-04-22,Negative
523,Public transport usage among women has remained stable this year.,Rajouri Garden,2023-10-21,Neutral
524,Another case of harassment reported near Saket metro station.,Hauz Khas,2023-03-17,Negative
525,Recent survey shows rising fear among women in Delhi.,Mayur Vihar,2023-07-29,Negative
526,Traffic congestion continues to be an issue across Delhi.,Kalkaji,2023-09-01,Neutral
527,Traffic congestion continues to be an issue across Delhi.,Connaught Place,2023-02-28,Neutral
528,Delhi police launches new helpline for women safety.,Greater Kailash,2023-12-19,Positive
529,NGOs held an awareness campaign in Connaught Place.,Mayur Vihar,2023-04-10,Neutral
530,Recent survey shows rising fear among women in Delhi.,Dwarka,2023-02-19,Negative
531,Delhi police launches new helpline for women safety.,Greater Kailash,2023-07-24,Positive
532,Police response to complaints in Rohini remains slow.,Karol Bagh,2023-06-24,Negative
533,New mobile app helps women report harassment instantly.,Kalkaji,2023-09-27,Positive
534,The metro is the preferred mode of transport for women in Delhi.,Hauz Khas,2023-07-22,Neutral
535,Lack of proper street lighting makes Chandni Chowk unsafe.,Mayur Vihar,2023-07-31,Negative
536,New mobile app helps women report harassment instantly.,Nehru Place,2023-01-26,Positive
537,Women feel unsafe walking alone at night in Rajouri Garden.,Karol Bagh,2023-08-17,Negative
538,NGOs held an awareness campaign in Connaught Place.,Kalkaji,2023-10-02,Neutral
539,Public transport usage among women has remained stable this year.,Connaught Place,2023-08-11,Neutral
540,More street lights installed in Dwarka to improve safety.,Dwarka,2023-07-16,Positive
541,Women safety measures were discussed in the Delhi Assembly.,Saket,2023-01-11,Neutral
542,Increased patrolling has reduced crime rates in Karol Bagh.,Rohini,2023-12-04,Positive
543,Women safety measures were discussed in the Delhi Assembly.,Rohini,2023-06-12,Neutral
544,New mobile app helps women report harassment instantly.,Vasant Kunj,2023-08-04,Positive
545,NGOs held an awareness campaign in Connaught Place.,Rajouri Garden,2023-02-12,Neutral
546,Increased patrolling has reduced crime rates in Karol Bagh.,Greater Kailash,2023-09-17,Positive
547,Lack of proper street lighting makes Chandni Chowk unsafe.,Hauz Khas,2023-03-15,Negative
548,Traffic congestion continues to be an issue across Delhi.,Mayur Vihar,2023-03-07,Neutral
549,Public transport usage among women has remained stable this year.,Lajpat Nagar,2023-09-24,Neutral
550,New mobile app helps women report harassment instantly.,Chandni Chowk,2023-03-16,Positive
551,NGOs held an awareness campaign in Connaught Place.,Connaught Place,2023-12-14,Neutral
552,Recent survey shows rising fear among women in Delhi.,Rohini,2023-12-09,Negative
553,Public transport usage among women has remained stable this year.,Hauz Khas,2023-01-06,Neutral
554,NGOs held an awareness campaign in Connaught Place.,Rohini,2023-03-27,Neutral
555,Police response to complaints in Rohini remains slow.,Saket,2023-02-09,Negative
556,The metro is the preferred mode of transport for women in Delhi.,Rohini,2023-05-03,Neutral
557,Public transport usage among women has remained stable this year.,Nehru Place,2023-12-10,Neutral
558,NGOs held an awareness campaign in Connaught Place.,Mayur Vihar,2023-07-31,Neutral
559,Recent survey shows rising fear among women in Delhi.,Vasant Kunj,2023-07-06,Negative
560,NGOs held an awareness campaign in Connaught Place.,Rajouri Garden,2023-07-27,Neutral
561,Delhi police launches new helpline for women safety.,Chandni Chowk,2023-11-28,Positive
562,Public transport usage among women has remained stable this year.,Pitampura,2023-02-03,Neutral
563,Self-defense workshops for women are gaining popularity in Hauz Khas.,Pitampura,2023-08-09,Positive
564,Increased patrolling has reduced crime rates in Karol Bagh.,Kalkaji,2023-05-13,Positive
565,NGOs held an awareness campaign in Connaught Place.,Hauz Khas,2023-05-13,Neutral
566,Traffic congestion continues to be an issue across Delhi.,Hauz Khas,2023-09-22,Neutral
567,More street lights installed in Dwarka to improve safety.,Kalkaji,2023-10-19,Positive
568,Public transport usage among women has remained stable this year.,Rajouri Garden,2023-01-09,Neutral
569,Public transport usage among women has remained stable this year.,Lajpat Nagar,2023-03-19,Neutral
570,More street lights installed in Dwarka to improve safety.,Lajpat Nagar,2023-03-26,Positive
571,Recent survey shows rising fear among women in Delhi.,Rohini,2023-05-19,Negative
572,Public transport usage among women has remained stable this year.,Vasant Kunj,2023-05-26,Neutral
573,The metro is the preferred mode of transport for women in Delhi.,Rohini,2023-10-02,Neutral
574,The metro is the preferred mode of transport for women in Delhi.,Chandni Chowk,2023-02-23,Neutral
575,New mobile app helps women report harassment instantly.,Mayur Vihar,2023-11-23,Positive
576,Increased patrolling has reduced crime rates in Karol Bagh.,Connaught Place,2023-06-03,Positive
577,The metro is the preferred mode of transport for women in Delhi.,Hauz Khas,2023-10-16,Neutral
578,Traffic congestion continues to be an issue across Delhi.,Mayur Vihar,2023-06-11,Neutral
579,Police response to complaints in Rohini remains slow.,Karol Bagh,2023-04-02,Negative
580,Delhi police launches new helpline for women safety.,Saket,2023-01-24,Positive
581,Police response to complaints in Rohini remains slow.,Dwarka,2023-01-28,Negative
582,New mobile app helps women report harassment instantly.,Vasant Kunj,2023-06-24,Positive
583,More street lights installed in Dwarka to improve safety.,Dwarka,2023-08-19,Positive
584,Women feel unsafe walking alone at night in Rajouri Garden.,Chandni Chowk,2023-10-23,Negative
585,Women feel unsafe walking alone at night in Rajouri Garden.,Pitampura,2023-06-29,Negative
586,Another case of harassment reported near Saket metro station.,Karol Bagh,2023-06-09,Negative
587,Another case of harassment reported near Saket metro station.,Chandni Chowk,2023-03-10,Negative
588,Public transport usage among women has remained stable this year.,Karol Bagh,2023-07-23,Neutral
589,Police response to complaints in Rohini remains slow.,Rajouri Garden,2023-04-20,Negative
590,Self-defense workshops for women are gaining popularity in Hauz Khas.,Connaught Place,2023-11-04,Positive
591,Self-defense workshops for women are gaining popularity in Hauz Khas.,Saket,2023-04-10,Positive
592,The metro is the preferred mode of transport for women in Delhi.,Chandni Chowk,2023-06-22,Neutral
593,Police response to complaints in Rohini remains slow.,Rajouri Garden,2023-11-01,Negative
594,Increased patrolling has reduced crime rates in Karol Bagh.,Vasant Kunj,2023-05-19,Positive
595,Police response to complaints in Rohini remains slow.,Saket,2023-04-18,Negative
596,NGOs held an awareness campaign in Connaught Place.,Karol Bagh,2023-12-19,Neutral
597,More street lights installed in Dwarka to improve safety.,Chandni Chowk,2023-11-15,Positive
598,Increased patrolling has reduced crime rates in Karol Bagh.,Nehru Place,2023-12-21,Positive
599,Police response to complaints in Rohini remains slow.,Karol Bagh,2023-11-10,Negative
600,Traffic congestion continues to be an issue across Delhi.,Vasant Kunj,2023-03-12,Neutral
601,New mobile app helps women report harassment instantly.,Connaught Place,2023-12-31,Positive
602,More street lights installed in Dwarka to improve safety.,Saket,2023-06-05,Positive
603,The metro is the preferred mode of transport for women in Delhi.,Connaught Place,2023-02-05,Neutral
604,Recent survey shows rising fear among women in Delhi.,Vasant Kunj,2023-03-27,Negative
605,More street lights installed in Dwarka to improve safety.,Dwarka,2023-08-31,Positive
606,Increased patrolling has reduced crime rates in Karol Bagh.,Rajouri Garden,2023-03-07,Positive
607,New mobile app helps women report harassment instantly.,Nehru Place,2023-07-12,Positive
608,Public transport usage among women has remained stable this year.,Kalkaji,2023-10-02,Neutral
609,Lack of proper street lighting makes Chandni Chowk unsafe.,Pitampura,2023-03-15,Negative
610,Women feel unsafe walking alone at night in Rajouri Garden.,Rajouri Garden,2023-08-16,Negative
611,Increased patrolling has reduced crime rates in Karol Bagh.,Lajpat Nagar,2023-10-11,Positive
612,Recent survey shows rising fear among women in Delhi.,Greater Kailash,2023-10-28,Negative
613,Police response to complaints in Rohini remains slow.,Rajouri Garden,2023-01-18,Negative
614,Traffic congestion continues to be an issue across Delhi.,Rajouri Garden,2023-10-24,Neutral
615,Increased patrolling has reduced crime rates in Karol Bagh.,Vasant Kunj,2023-11-16,Positive
616,The metro is the preferred mode of transport for women in Delhi.,Kalkaji,2023-05-26,Neutral
617,Increased patrolling has reduced crime rates in Karol Bagh.,Chandni Chowk,2023-12-07,Positive
618,Traffic congestion continues to be an issue across Delhi.,Hauz Khas,2023-05-25,Neutral
619,Public transport usage among women has remained stable this year.,Greater Kailash,2023-06-12,Neutral
620,The metro is the preferred mode of transport for women in Delhi.,Vasant Kunj,2023-05-21,Neutral
621,Delhi police launches new helpline for women safety.,Connaught Place,2023-11-07,Positive
622,Police response to complaints in Rohini remains slow.,Vasant Kunj,2023-07-16,Negative
623,Self-defense workshops for women are gaining popularity in Hauz Khas.,Nehru Place,2023-07-08,Positive
624,Increased patrolling has reduced crime rates in Karol Bagh.,Vasant Kunj,2023-03-30,Positive
625,Women safety measures were discussed in the Delhi Assembly.,Kalkaji,2023-01-20,Neutral
626,New mobile app helps women report harassment instantly.,Karol Bagh,2023-04-23,Positive
627,Recent survey shows rising fear among women in Delhi.,Dwarka,2023-03-26,Negative
628,Public transport usage among women has remained stable this year.,Greater Kailash,2023-02-12,Neutral
629,NGOs held an awareness campaign in Connaught Place.,Rohini,2023-05-09,Neutral
630,Recent survey shows rising fear among women in Delhi.,Mayur Vihar,2023-01-07,Negative
631,More street lights installed in Dwarka to improve safety.,Dwarka,2023-09-15,Positive
632,Lack of proper street lighting makes Chandni Chowk unsafe.,Rohini,2023-02-17,Negative
633,Women safety measures were discussed in the Delhi Assembly.,Greater Kailash,2023-06-14,Neutral
634,Another case of harassment reported near Saket metro station.,Saket,2023-06-11,Negative
635,Self-defense workshops for women are gaining popularity in Hauz Khas.,Rajouri Garden,2023-08-01,Positive
636,Lack of proper street lighting makes Chandni Chowk unsafe.,Mayur Vihar,2023-05-12,Negative
637,Women safety measures were discussed in the Delhi Assembly.,Rajouri Garden,2023-08-25,Neutral
638,Recent survey shows rising fear among women in Delhi.,Lajpat Nagar,2023-01-18,Negative
639,Recent survey shows rising fear among women in Delhi.,Chandni Chowk,2023-06-30,Negative
640,Women safety measures were discussed in the Delhi Assembly.,Nehru Place,2023-02-17,Neutral
641,Women safety measures were discussed in the Delhi Assembly.,Lajpat Nagar,2023-11-19,Neutral
642,Traffic congestion continues to be an issue across Delhi.,Kalkaji,2023-04-15,Neutral
643,Lack of proper street lighting makes Chandni Chowk unsafe.,Nehru Place,2023-11-23,Negative
644,NGOs held an awareness campaign in Connaught Place.,Vasant Kunj,2023-07-27,Neutral
645,Increased patrolling has reduced crime rates in Karol Bagh.,Pitampura,2023-06-15,Positive
646,NGOs held an awareness campaign in Connaught Place.,Vasant Kunj,2023-02-01,Neutral
647,NGOs held an awareness campaign in Connaught Place.,Chandni Chowk,2023-04-24,Neutral
648,Self-defense workshops for women are gaining popularity in Hauz Khas.,Mayur Vihar,2023-05-31,Positive
649,Self-defense workshops for women are gaining popularity in Hauz Khas.,Chandni Chowk,2023-05-23,Positive
650,Recent survey shows rising fear among women in Delhi.,Chandni Chowk,2023-07-07,Negative
651,Police response to complaints in Rohini remains slow.,Nehru Place,2023-08-27,Negative
652,The metro is the preferred mode of transport for women in Delhi.,Chandni Chowk,2023-04-10,Neutral
653,The metro is the preferred mode of transport for women in Delhi.,Mayur Vihar,2023-10-20,Neutral
654,More street lights installed in Dwarka to improve safety.,Dwarka,2023-03-02,Positive
655,Another case of harassment reported near Saket metro station.,Kalkaji,2023-01-08,Negative
656,New mobile app helps women report harassment instantly.,Kalkaji,2023-06-15,Positive
657,Self-defense workshops for women are gaining popularity in Hauz Khas.,Hauz Khas,2023-09-17,Positive
658,More street lights installed in Dwarka to improve safety.,Hauz Khas,2023-08-10,Positive
659,More street lights installed in Dwarka to improve safety.,Connaught Place,2023-02-21,Positive
660,More street lights installed in Dwarka to improve safety.,Pitampura,2023-09-02,Positive
661,Traffic congestion continues to be an issue across Delhi.,Chandni Chowk,2023-02-23,Neutral
662,The metro is the preferred mode of transport for women in Delhi.,Nehru Place,2023-03-19,Neutral
663,Police response to complaints in Rohini remains slow.,Karol Bagh,2023-09-03,Negative
664,Public transport usage among women has remained stable this year.,Karol Bagh,2023-12-08,Neutral
665,Lack of proper street lighting makes Chandni Chowk unsafe.,Pitampura,2023-03-23,Negative
666,New mobile app helps women report harassment instantly.,Dwarka,2023-06-05,Positive
667,Police response to complaints in Rohini remains slow.,Rajouri Garden,2023-04-02,Negative
668,Public transport usage among women has remained stable this year.,Hauz Khas,2023-08-11,Neutral
669,Women safety measures were discussed in the Delhi Assembly.,Saket,2023-02-18,Neutral
670,Women safety measures were discussed in the Delhi Assembly.,Chandni Chowk,2023-11-12,Neutral
671,Increased patrolling has reduced crime rates in Karol Bagh.,Nehru Place,2023-04-03,Positive
672,Public transport usage among women has remained stable this year.,Nehru Place,2023-02-02,Neutral
673,Women safety measures were discussed in the Delhi Assembly.,Connaught Place,2023-01-18,Neutral
674,Police response to complaints in Rohini remains slow.,Saket,2023-10-19,Negative
675,Delhi police launches new helpline for women safety.,Connaught Place,2023-10-04,Positive
676,Another case of harassment reported near Saket metro station.,Nehru Place,2023-06-29,Negative
677,Police response to complaints in Rohini remains slow.,Lajpat Nagar,2023-03-08,Negative
678,Women safety measures were discussed in the Delhi Assembly.,Kalkaji,2023-02-16,Neutral
679,Self-defense workshops for women are gaining popularity in Hauz Khas.,Saket,2023-08-25,Positive
680,Public transport usage among women has remained stable this year.,Lajpat Nagar,2023-08-30,Neutral
681,Recent survey shows rising fear among women in Delhi.,Nehru Place,2023-01-22,Negative
682,Delhi police launches new helpline for women safety.,Chandni Chowk,2023-10-18,Positive
683,Another case of harassment reported near Saket metro station.,Connaught Place,2023-04-19,Negative
684,Police response to complaints in Rohini remains slow.,Connaught Place,2023-10-29,Negative
685,Delhi police launches new helpline for women safety.,Saket,2023-02-23,Positive
686,Women feel unsafe walking alone at night in Rajouri Garden.,Greater Kailash,2023-03-04,Negative
687,Increased patrolling has reduced crime rates in Karol Bagh.,Kalkaji,2023-07-18,Positive
688,Lack of proper street lighting makes Chandni Chowk unsafe.,Connaught Place,2023-02-04,Negative
689,Police response to complaints in Rohini remains slow.,Mayur Vihar,2023-03-12,Negative
690,Self-defense workshops for women are gaining popularity in Hauz Khas.,Kalkaji,2023-04-29,Positive
691,Traffic congestion continues to be an issue across Delhi.,Vasant Kunj,2023-07-11,Neutral
692,The metro is the preferred mode of transport for women in Delhi.,Connaught Place,2023-09-02,Neutral
693,New mobile app helps women report harassment instantly.,Karol Bagh,2023-07-17,Positive
694,Increased patrolling has reduced crime rates in Karol Bagh.,Dwarka,2023-04-04,Positive
695,Women safety measures were discussed in the Delhi Assembly.,Kalkaji,2023-08-17,Neutral
696,Public transport usage among women has remained stable this year.,Dwarka,2023-03-18,Neutral
697,Lack of proper street lighting makes Chandni Chowk unsafe.,Dwarka,2023-03-06,Negative
698,Recent survey shows rising fear among women in Delhi.,Karol Bagh,2023-10-18,Negative
699,NGOs held an awareness campaign in Connaught Place.,Mayur Vihar,2023-02-26,Neutral
700,Public transport usage among women has remained stable this year.,Chandni Chowk,2023-07-26,Neutral
701,NGOs held an awareness campaign in Connaught Place.,Saket,2023-02-27,Neutral
702,Self-defense workshops for women are gaining popularity in Hauz Khas.,Mayur Vihar,2023-10-15,Positive
703,The metro is the preferred mode of transport for women in Delhi.,Vasant Kunj,2023-07-16,Neutral
704,Self-defense workshops for women are gaining popularity in Hauz Khas.,Connaught Place,2023-06-11,Positive
705,Women feel unsafe walking alone at night in Rajouri Garden.,Pitampura,2023-02-01,Negative
706,The metro is the preferred mode of transport for women in Delhi.,Kalkaji,2023-01-14,Neutral
707,Traffic congestion continues to be an issue across Delhi.,Rajouri Garden,2023-06-12,Neutral
708,Public transport usage among women has remained stable this year.,Rohini,2023-11-08,Neutral
709,Traffic congestion continues to be an issue across Delhi.,Nehru Place,2023-12-01,Neutral
710,Another case of harassment reported near Saket metro station.,Vasant Kunj,2023-09-21,Negative
711,Another case of harassment reported near Saket metro station.,Karol Bagh,2023-06-04,Negative
712,Police response to complaints in Rohini remains slow.,Rohini,2023-02-14,Negative
713,Delhi police launches new helpline for women safety.,Lajpat Nagar,2023-09-06,Positive
714,Delhi police launches new helpline for women safety.,Greater Kailash,2023-04-11,Positive
715,Increased patrolling has reduced crime rates in Karol Bagh.,Saket,2023-02-06,Positive
716,Traffic congestion continues to be an issue across Delhi.,Chandni Chowk,2023-02-13,Neutral
717,Traffic congestion continues to be an issue across Delhi.,Dwarka,2023-07-20,Neutral
718,New mobile app helps women report harassment instantly.,Hauz Khas,2023-09-01,Positive
719,The metro is the preferred mode of transport for women in Delhi.,Chandni Chowk,2023-01-12,Neutral
720,Another case of harassment reported near Saket metro station.,Kalkaji,2023-12-12,Negative
721,The metro is the preferred mode of transport for women in Delhi.,Mayur Vihar,2023-11-04,Neutral
722,Lack of proper street lighting makes Chandni Chowk unsafe.,Hauz Khas,2023-07-01,Negative
723,Increased patrolling has reduced crime rates in Karol Bagh.,Rajouri Garden,2023-03-20,Positive
724,The metro is the preferred mode of transport for women in Delhi.,Mayur Vihar,2023-09-19,Neutral
725,Police response to complaints in Rohini remains slow.,Saket,2023-03-12,Negative
726,Public transport usage among women has remained stable this year.,Kalkaji,2023-11-22,Neutral
727,Police response to complaints in Rohini remains slow.,Nehru Place,2023-11-20,Negative
728,Delhi police launches new helpline for women safety.,Connaught Place,2023-05-08,Positive
729,Traffic congestion continues to be an issue across Delhi.,Karol Bagh,2023-10-31,Neutral
730,Public transport usage among women has remained stable this year.,Saket,2023-11-04,Neutral
731,Delhi police launches new helpline for women safety.,Hauz Khas,2023-01-31,Positive
732,The metro is the preferred mode of transport for women in Delhi.,Greater Kailash,2023-11-17,Neutral
733,Self-defense workshops for women are gaining popularity in Hauz Khas.,Rohini,2023-08-13,Positive
734,The metro is the preferred mode of transport for women in Delhi.,Lajpat Nagar,2023-08-01,Neutral
735,Women feel unsafe walking alone at night in Rajouri Garden.,Connaught Place,2023-11-17,Negative
736,Public transport usage among women has remained stable this year.,Karol Bagh,2023-07-17,Neutral
737,Recent survey shows rising fear among women in Delhi.,Chandni Chowk,2023-06-09,Negative
738,Traffic congestion continues to be an issue across Delhi.,Kalkaji,2023-11-29,Neutral
739,Public transport usage among women has remained stable this year.,Karol Bagh,2023-03-20,Neutral
740,Recent survey shows rising fear among women in Delhi.,Rohini,2023-01-02,Negative
741,NGOs held an awareness campaign in Connaught Place.,Karol Bagh,2023-08-01,Neutral
742,The metro is the preferred mode of transport for women in Delhi.,Karol Bagh,2023-01-30,Neutral
743,Lack of proper street lighting makes Chandni Chowk unsafe.,Mayur Vihar,2023-01-09,Negative
744,Delhi police launches new helpline for women safety.,Chandni Chowk,2023-06-01,Positive
745,Self-defense workshops for women are gaining popularity in Hauz Khas.,Chandni Chowk,2023-08-03,Positive
746,Public transport usage among women has remained stable this year.,Hauz Khas,2023-11-23,Neutral
747,Delhi police launches new helpline for women safety.,Mayur Vihar,2023-01-01,Positive
748,More street lights installed in Dwarka to improve safety.,Saket,2023-09-15,Positive
749,Public transport usage among women has remained stable this year.,Connaught Place,2023-05-02,Neutral
750,Public transport usage among women has remained stable this year.,Nehru Place,2023-12-12,Neutral
751,Women safety measures were discussed in the Delhi Assembly.,Rajouri Garden,2023-12-01,Neutral
752,Traffic congestion continues to be an issue across Delhi.,Saket,2023-03-11,Neutral
753,Women safety measures were discussed in the Delhi Assembly.,Pitampura,2023-10-22,Neutral
754,Traffic congestion continues to be an issue across Delhi.,Greater Kailash,2023-11-22,Neutral
755,Increased patrolling has reduced crime rates in Karol Bagh.,Nehru Place,2023-04-08,Positive
756,Delhi police launches new helpline for women safety.,Connaught Place,2023-02-05,Positive
757,New mobile app helps women report harassment instantly.,Hauz Khas,2023-08-20,Positive
758,Increased patrolling has reduced crime rates in Karol Bagh.,Pitampura,2023-01-05,Positive
759,NGOs held an awareness campaign in Connaught Place.,Mayur Vihar,2023-02-04,Neutral
760,NGOs held an awareness campaign in Connaught Place.,Kalkaji,2023-12-06,Neutral
761,Recent survey shows rising fear among women in Delhi.,Greater Kailash,2023-07-26,Negative
762,New mobile app helps women report harassment instantly.,Pitampura,2023-02-10,Positive
763,Self-defense workshops for women are gaining popularity in Hauz Khas.,Hauz Khas,2023-08-03,Positive
764,The metro is the preferred mode of transport for women in Delhi.,Vasant Kunj,2023-09-16,Neutral
765,Increased patrolling has reduced crime rates in Karol Bagh.,Greater Kailash,2023-09-20,Positive
766,Traffic congestion continues to be an issue across Delhi.,Connaught Place,2023-05-09,Neutral
767,Self-defense workshops for women are gaining popularity in Hauz Khas.,Karol Bagh,2023-05-13,Positive
768,Lack of proper street lighting makes Chandni Chowk unsafe.,Rajouri Garden,2023-07-15,Negative
769,New mobile app helps women report harassment instantly.,Hauz Khas,2023-09-15,Positive
770,The metro is the preferred mode of transport for women in Delhi.,Rohini,2023-04-10,Neutral
771,The metro is the preferred mode of transport for women in Delhi.,Hauz Khas,2023-06-17,Neutral
772,Women feel unsafe walking alone at night in Rajouri Garden.,Pitampura,2023-07-26,Negative
773,Increased patrolling has reduced crime rates in Karol Bagh.,Kalkaji,2023-12-03,Positive
774,Increased patrolling has reduced crime rates in Karol Bagh.,Hauz Khas,2023-07-09,Positive
775,Public transport usage among women has remained stable this year.,Lajpat Nagar,2023-01-06,Neutral
776,Women feel unsafe walking alone at night in Rajouri Garden.,Nehru Place,2023-03-16,Negative
777,Women safety measures were discussed in the Delhi Assembly.,Dwarka,2023-10-07,Neutral
778,The metro is the preferred mode of transport for women in Delhi.,Saket,2023-02-08,Neutral
779,Delhi police launches new helpline for women safety.,Chandni Chowk,2023-10-27,Positive
780,New mobile app helps women report harassment instantly.,Kalkaji,2023-05-12,Positive
781,The metro is the preferred mode of transport for women in Delhi.,Hauz Khas,2023-05-07,Neutral
782,Self-defense workshops for women are gaining popularity in Hauz Khas.,Rohini,2023-03-08,Positive
783,Traffic congestion continues to be an issue across Delhi.,Pitampura,2023-10-11,Neutral
784,New mobile app helps women report harassment instantly.,Connaught Place,2023-11-25,Positive
785,Recent survey shows rising fear among women in Delhi.,Saket,2023-05-08,Negative
786,Women feel unsafe walking alone at night in Rajouri Garden.,Dwarka,2023-08-07,Negative
787,The metro is the preferred mode of transport for women in Delhi.,Hauz Khas,2023-09-30,Neutral
788,Delhi police launches new helpline for women safety.,Chandni Chowk,2023-12-15,Positive
789,Lack of proper street lighting makes Chandni Chowk unsafe.,Mayur Vihar,2023-08-29,Negative
790,Women safety measures were discussed in the Delhi Assembly.,Nehru Place,2023-02-06,Neutral
791,Traffic congestion continues to be an issue across Delhi.,Dwarka,2023-09-28,Neutral
792,Recent survey shows rising fear among women in Delhi.,Kalkaji,2023-05-05,Negative
793,NGOs held an awareness campaign in Connaught Place.,Nehru Place,2023-10-20,Neutral
794,More street lights installed in Dwarka to improve safety.,Lajpat Nagar,2023-12-09,Positive
795,NGOs held an awareness campaign in Connaught Place.,Chandni Chowk,2023-03-04,Neutral
796,Police response to complaints in Rohini remains slow.,Mayur Vihar,2023-06-19,Negative
797,Public transport usage among women has remained stable this year.,Dwarka,2023-06-17,Neutral
798,Delhi police launches new helpline for women safety.,Rajouri Garden,2023-12-30,Positive
799,Women feel unsafe walking alone at night in Rajouri Garden.,Rajouri Garden,2023-10-08,Negative
800,Lack of proper street lighting makes Chandni Chowk unsafe.,Nehru Place,2023-06-09,Negative
801,Another case of harassment reported near Saket metro station.,Greater Kailash,2023-02-06,Negative
802,More street lights installed in Dwarka to improve safety.,Karol Bagh,2023-05-18,Positive
803,New mobile app helps women report harassment instantly.,Dwarka,2023-11-10,Positive
804,Lack of proper street lighting makes Chandni Chowk unsafe.,Pitampura,2023-05-24,Negative
805,Women safety measures were discussed in the Delhi Assembly.,Saket,2023-01-11,Neutral
806,Traffic congestion continues to be an issue across Delhi.,Rohini,2023-01-10,Neutral
807,Increased patrolling has reduced crime rates in Karol Bagh.,Saket,2023-08-01,Positive
808,Women feel unsafe walking alone at night in Rajouri Garden.,Chandni Chowk,2023-06-05,Negative
809,NGOs held an awareness campaign in Connaught Place.,Karol Bagh,2023-10-19,Neutral
810,Another case of harassment reported near Saket metro station.,Rohini,2023-11-14,Negative
811,Police response to complaints in Rohini remains slow.,Pitampura,2023-10-11,Negative
812,Increased patrolling has reduced crime rates in Karol Bagh.,Rajouri Garden,2023-10-01,Positive
813,Public transport usage among women has remained stable this year.,Greater Kailash,2023-10-26,Neutral
814,Lack of proper street lighting makes Chandni Chowk unsafe.,Karol Bagh,2023-01-08,Negative
815,Traffic congestion continues to be an issue across Delhi.,Mayur Vihar,2023-08-12,Neutral
816,More street lights installed in Dwarka to improve safety.,Karol Bagh,2023-12-26,Positive
817,New mobile app helps women report harassment instantly.,Saket,2023-07-01,Positive
818,Traffic congestion continues to be an issue across Delhi.,Mayur Vihar,2023-01-13,Neutral
819,Women feel unsafe walking alone at night in Rajouri Garden.,Saket,2023-04-16,Negative
820,NGOs held an awareness campaign in Connaught Place.,Hauz Khas,2023-01-23,Neutral
821,Another case of harassment reported near Saket metro station.,Greater Kailash,2023-11-05,Negative
822,Delhi police launches new helpline for women safety.,Vasant Kunj,2023-06-23,Positive
823,Women safety measures were discussed in the Delhi Assembly.,Mayur Vihar,2023-12-15,Neutral
824,Increased patrolling has reduced crime rates in Karol Bagh.,Rohini,2023-07-05,Positive
825,New mobile app helps women report harassment instantly.,Rohini,2023-07-17,Positive
826,Police response to complaints in Rohini remains slow.,Saket,2023-11-27,Negative
827,Self-defense workshops for women are gaining popularity in Hauz Khas.,Dwarka,2023-05-20,Positive
828,NGOs held an awareness campaign in Connaught Place.,Vasant Kunj,2023-02-07,Neutral
829,Recent survey shows rising fear among women in Delhi.,Lajpat Nagar,2023-04-27,Negative
830,More street lights installed in Dwarka to improve safety.,Kalkaji,2023-10-07,Positive
831,Recent survey shows rising fear among women in Delhi.,Rohini,2023-11-29,Negative
832,More street lights installed in Dwarka to improve safety.,Rohini,2023-05-20,Positive
833,Traffic congestion continues to be an issue across Delhi.,Rohini,2023-11-21,Neutral
834,Public transport usage among women has remained stable this year.,Rajouri Garden,2023-07-28,Neutral
835,Recent survey shows rising fear among women in Delhi.,Nehru Place,2023-06-19,Negative
836,NGOs held an awareness campaign in Connaught Place.,Kalkaji,2023-11-21,Neutral
