Crime Type,Latitude,Longitude,Date,Time,Severity,Crime Description,Victim Age,Police Station,Weather Condition,Time of Day,Incident Reported
Robbery,28.465375,76.835317,2023-11-03,19:12,4,Shoplifting,46,Lajpat Nagar Police Station,Rain,Evening,No
Assault,28.543635,76.92768,2021-04-25,06:45,5,Stolen bike,40,Kashmere Gate Police Station,Haze,Morning,No
Robbery,28.562002,77.136509,2023-02-12,22:37,3,Chain snatching,54,Vasant Kunj Police Station,Clear,Night,Yes
Theft,28.413585,77.220797,2024-03-03,10:37,2,Public intoxication,53,Rohini North Police Station,Cloudy,Morning,Yes
Assault,28.806523,77.146974,2024-10-01,03:03,5,Shoplifting,43,Rohini North Police Station,Cloudy,Night,No
Burglary,28.596415,77.258447,2023-06-19,08:25,3,Car theft,25,Connaught Place Police Station,Rain,Morning,Yes
Assault,28.51457,77.08996,2021-10-24,06:58,4,Street robbery,48,Vasant Kunj Police Station,Rain,Morning,Yes
Theft,28.480666,77.123617,2022-05-24,06:28,3,Domestic violence,56,Lajpat Nagar Police Station,Haze,Morning,No
Fraud,28.65486,77.141711,2023-10-25,05:39,2,Stolen bike,36,Lajpat Nagar Police Station,Fog,Morning,No
Burglary,28.454101,77.111991,2024-04-23,13:14,5,Public intoxication,23,Connaught Place Police Station,Clear,Afternoon,No
Burglary,28.773232,77.292124,2023-04-24,08:13,3,Cyber fraud,37,Dwarka Sector 10 Police Station,Rain,Morning,No
Harassment,28.47578,76.953986,2022-09-26,12:54,5,Stolen bike,33,Vasant Kunj Police Station,Haze,Afternoon,Yes
Vandalism,28.884451,76.888324,2020-10-14,23:10,2,Stolen bike,48,Lajpat Nagar Police Station,Clear,Night,No
Vandalism,28.827912,77.230799,2022-08-06,11:31,4,Cyber fraud,34,Connaught Place Police Station,Haze,Morning,Yes
Harassment,28.743114,77.280997,2022-11-14,11:38,5,Stolen bike,34,Vasant Kunj Police Station,Haze,Morning,Yes
Theft,28.751285,77.103563,2021-04-05,11:18,3,Car theft,55,Lajpat Nagar Police Station,Cloudy,Morning,No
Assault,28.841244,77.115874,2020-02-10,10:25,3,Public intoxication,24,Rohini North Police Station,Fog,Morning,No
Fraud,28.76024,76.836027,2024-01-13,05:49,4,Cyber fraud,34,Lajpat Nagar Police Station,Rain,Morning,Yes
Theft,28.552055,77.230995,2022-01-26,20:08,2,Car theft,39,Kashmere Gate Police Station,Rain,Night,Yes
Murder,28.822821,76.917129,2022-03-23,18:29,4,Stolen bike,55,Rohini North Police Station,Fog,Evening,No
Burglary,28.42658,77.194315,2022-01-19,17:24,4,Cyber fraud,51,Connaught Place Police Station,Clear,Evening,Yes
Robbery,28.47124,76.812646,2021-06-09,07:15,3,Stolen bike,41,Kashmere Gate Police Station,Haze,Morning,Yes
Robbery,28.636302,76.896016,2024-04-10,02:25,3,Chain snatching,54,Rohini North Police Station,Clear,Night,No
Robbery,28.736269,76.908313,2022-08-09,22:38,5,Domestic violence,39,Vasant Kunj Police Station,Rain,Night,No
Assault,28.468324,76.809691,2024-04-25,19:56,2,Chain snatching,51,Vasant Kunj Police Station,Fog,Evening,Yes
Assault,28.591978,76.995638,2021-05-31,16:07,4,Domestic violence,34,Vasant Kunj Police Station,Clear,Afternoon,Yes
Murder,28.508651,76.915998,2021-06-20,12:00,3,Street robbery,39,Connaught Place Police Station,Clear,Afternoon,No
Theft,28.829542,77.247439,2024-01-27,00:06,3,Domestic violence,24,Connaught Place Police Station,Fog,Night,No
Robbery,28.714147,77.039066,2020-10-28,05:28,4,Cyber fraud,44,Rohini North Police Station,Fog,Morning,No
Burglary,28.789478,77.296967,2021-11-25,12:56,5,Public intoxication,38,Rohini North Police Station,Rain,Afternoon,No
Assault,28.611988,76.934932,2022-09-05,15:34,5,Stolen bike,29,Dwarka Sector 10 Police Station,Cloudy,Afternoon,No
Robbery,28.700326,77.293869,2021-02-06,16:08,2,Cyber fraud,23,Kashmere Gate Police Station,Clear,Afternoon,No
Theft,28.799271,77.259757,2021-04-17,19:23,1,Stolen bike,50,Rohini North Police Station,Fog,Evening,Yes
Burglary,28.452898,77.04639,2022-10-11,13:04,4,Cyber fraud,21,Lajpat Nagar Police Station,Fog,Afternoon,No
Theft,28.82773,76.823758,2020-01-13,14:37,2,Domestic violence,34,Kashmere Gate Police Station,Haze,Afternoon,Yes
Assault,28.418673,77.221262,2020-11-11,14:03,4,Chain snatching,56,Connaught Place Police Station,Cloudy,Afternoon,No
Vandalism,28.402101,77.208117,2021-04-27,21:49,4,Cyber fraud,33,Dwarka Sector 10 Police Station,Clear,Night,No
Murder,28.527231,77.009571,2023-11-10,00:59,2,Car theft,51,Lajpat Nagar Police Station,Clear,Night,Yes
Murder,28.699722,76.868983,2023-10-11,02:16,1,Cyber fraud,34,Kashmere Gate Police Station,Haze,Night,Yes
Assault,28.842102,77.22386,2021-02-05,11:25,5,Shoplifting,37,Connaught Place Police Station,Cloudy,Morning,Yes
Burglary,28.66904,77.1724,2022-09-11,03:40,5,Stolen bike,27,Connaught Place Police Station,Clear,Night,Yes
Theft,28.799175,77.006771,2022-12-01,02:26,3,Chain snatching,21,Connaught Place Police Station,Fog,Night,No
Murder,28.628902,77.021072,2022-08-21,19:12,2,Car theft,49,Connaught Place Police Station,Rain,Evening,No
Fraud,28.768539,76.837071,2022-08-10,14:48,4,Chain snatching,19,Kashmere Gate Police Station,Cloudy,Afternoon,No
Theft,28.84401,77.056328,2020-02-25,03:13,5,Cyber fraud,27,Lajpat Nagar Police Station,Fog,Night,No
Robbery,28.701642,76.971105,2022-07-26,23:01,2,Stolen bike,26,Dwarka Sector 10 Police Station,Fog,Night,No
Theft,28.82603,77.132602,2024-09-22,00:15,5,Domestic violence,30,Vasant Kunj Police Station,Rain,Night,Yes
Murder,28.798845,76.894718,2022-09-01,14:00,2,Domestic violence,45,Rohini North Police Station,Rain,Afternoon,No
Murder,28.607063,77.073318,2023-04-19,06:13,1,Car theft,56,Vasant Kunj Police Station,Haze,Morning,Yes
Robbery,28.588822,77.245267,2021-03-22,10:20,3,Car theft,26,Dwarka Sector 10 Police Station,Haze,Morning,No
Murder,28.438969,77.212114,2024-10-30,23:06,2,Cyber fraud,36,Rohini North Police Station,Clear,Night,Yes
Fraud,28.483739,77.265687,2020-11-12,18:12,1,Chain snatching,31,Rohini North Police Station,Cloudy,Evening,Yes
Fraud,28.484452,76.98199,2021-03-29,04:43,4,Stolen bike,42,Rohini North Police Station,Cloudy,Night,No
Vandalism,28.555113,77.252406,2024-02-21,17:49,1,Stolen bike,48,Dwarka Sector 10 Police Station,Clear,Evening,No
Theft,28.637815,77.024273,2021-06-04,12:05,5,Car theft,34,Rohini North Police Station,Fog,Afternoon,Yes
Assault,28.542386,77.104876,2023-03-13,00:37,3,Public intoxication,54,Vasant Kunj Police Station,Fog,Night,Yes
Fraud,28.652265,77.287057,2022-07-19,07:50,2,Street robbery,56,Dwarka Sector 10 Police Station,Haze,Morning,Yes
Fraud,28.485564,77.031931,2020-06-24,03:59,2,Street robbery,49,Kashmere Gate Police Station,Fog,Night,Yes
Vandalism,28.623309,77.08072,2024-10-16,19:19,1,Car theft,25,Connaught Place Police Station,Cloudy,Evening,Yes
Harassment,28.706189,77.021308,2021-03-20,05:25,3,Shoplifting,56,Dwarka Sector 10 Police Station,Rain,Morning,No
Assault,28.898887,76.987613,2024-04-21,08:50,4,Car theft,18,Lajpat Nagar Police Station,Haze,Morning,Yes
Vandalism,28.550497,76.8639,2021-08-24,03:59,5,Cyber fraud,49,Connaught Place Police Station,Haze,Night,Yes
Harassment,28.622907,77.233511,2024-09-09,02:14,2,Cyber fraud,31,Lajpat Nagar Police Station,Haze,Night,Yes
Robbery,28.577866,77.115654,2023-05-26,19:24,3,Car theft,37,Connaught Place Police Station,Cloudy,Evening,Yes
Harassment,28.400366,76.871406,2020-02-10,17:27,1,Car theft,35,Connaught Place Police Station,Cloudy,Evening,No
Harassment,28.44726,77.170208,2024-02-28,06:48,3,Stolen bike,53,Lajpat Nagar Police Station,Haze,Morning,No
Harassment,28.640152,77.179824,2024-07-13,18:10,3,Public intoxication,55,Lajpat Nagar Police Station,Haze,Evening,No
Vandalism,28.787374,76.92751,2024-04-09,23:02,4,Car theft,41,Lajpat Nagar Police Station,Rain,Night,No
Harassment,28.870175,77.188969,2022-05-30,13:43,5,Chain snatching,30,Kashmere Gate Police Station,Haze,Afternoon,Yes
Harassment,28.771493,77.288817,2021-01-06,06:34,5,Car theft,24,Lajpat Nagar Police Station,Rain,Morning,No
Murder,28.406634,76.918498,2020-06-18,17:55,1,Public intoxication,55,Connaught Place Police Station,Clear,Evening,No
Robbery,28.674312,77.286026,2020-06-07,09:26,3,Cyber fraud,44,Rohini North Police Station,Rain,Morning,Yes
Fraud,28.459823,76.870052,2020-11-24,06:17,5,Stolen bike,49,Connaught Place Police Station,Cloudy,Morning,No
Harassment,28.573676,77.159247,2024-06-14,06:59,5,Shoplifting,54,Rohini North Police Station,Fog,Morning,No
Murder,28.89579,77.087579,2024-06-23,19:40,2,Stolen bike,57,Lajpat Nagar Police Station,Fog,Evening,No
Robbery,28.447638,77.127122,2020-01-13,21:33,1,Street robbery,30,Dwarka Sector 10 Police Station,Fog,Night,Yes
Theft,28.57933,76.854148,2023-03-04,14:32,5,Public intoxication,57,Kashmere Gate Police Station,Clear,Afternoon,No
Assault,28.678657,76.972602,2022-01-07,13:29,1,Chain snatching,41,Vasant Kunj Police Station,Cloudy,Afternoon,Yes
Assault,28.627486,76.847779,2022-10-05,17:22,2,Stolen bike,27,Kashmere Gate Police Station,Fog,Evening,No
Vandalism,28.628086,76.820681,2020-08-30,15:14,5,Public intoxication,18,Dwarka Sector 10 Police Station,Rain,Afternoon,Yes
Murder,28.858536,77.150237,2022-05-08,21:26,1,Car theft,32,Dwarka Sector 10 Police Station,Fog,Night,No
Theft,28.530236,77.170299,2021-06-19,06:49,4,Street robbery,57,Dwarka Sector 10 Police Station,Rain,Morning,No
Murder,28.845891,77.13374,2022-08-19,03:28,5,Shoplifting,38,Dwarka Sector 10 Police Station,Clear,Night,Yes
Vandalism,28.679685,77.035775,2021-07-31,19:54,4,Cyber fraud,38,Rohini North Police Station,Clear,Evening,No
Fraud,28.83726,76.885962,2022-05-05,23:32,5,Cyber fraud,39,Kashmere Gate Police Station,Cloudy,Night,No
Fraud,28.763309,76.813712,2022-06-02,06:05,2,Street robbery,43,Dwarka Sector 10 Police Station,Haze,Morning,Yes
Burglary,28.736878,76.896939,2021-02-12,13:57,3,Street robbery,25,Vasant Kunj Police Station,Cloudy,Afternoon,Yes
Burglary,28.594868,77.008473,2024-03-10,18:28,1,Chain snatching,37,Kashmere Gate Police Station,Rain,Evening,No
Vandalism,28.618556,77.129201,2024-02-06,21:41,2,Stolen bike,40,Dwarka Sector 10 Police Station,Haze,Night,Yes
Robbery,28.786134,76.967746,2024-05-25,12:35,2,Domestic violence,55,Kashmere Gate Police Station,Rain,Afternoon,No
Burglary,28.495982,77.266499,2022-11-18,13:52,2,Cyber fraud,53,Vasant Kunj Police Station,Rain,Afternoon,No
Vandalism,28.843183,76.892805,2024-10-12,06:54,1,Car theft,60,Lajpat Nagar Police Station,Rain,Morning,Yes
Assault,28.631032,76.968724,2020-06-23,10:34,5,Stolen bike,35,Kashmere Gate Police Station,Haze,Morning,Yes
Murder,28.572568,77.250402,2020-10-20,16:30,2,Stolen bike,50,Kashmere Gate Police Station,Cloudy,Afternoon,No
Murder,28.642338,76.8013,2020-06-08,01:46,4,Chain snatching,20,Lajpat Nagar Police Station,Clear,Night,No
Vandalism,28.587829,76.870724,2020-01-14,03:32,3,Domestic violence,60,Connaught Place Police Station,Haze,Night,No
Fraud,28.79269,77.287874,2024-04-21,14:22,5,Chain snatching,19,Lajpat Nagar Police Station,Fog,Afternoon,No
Robbery,28.795723,77.195844,2020-02-28,02:32,4,Stolen bike,24,Vasant Kunj Police Station,Clear,Night,No
Burglary,28.749149,77.098073,2024-05-20,07:35,2,Domestic violence,52,Kashmere Gate Police Station,Rain,Morning,Yes
Theft,28.401119,77.004846,2024-07-02,08:35,3,Domestic violence,39,Vasant Kunj Police Station,Haze,Morning,No
Vandalism,28.831269,76.858524,2024-12-11,10:37,1,Shoplifting,55,Kashmere Gate Police Station,Rain,Morning,Yes
Theft,28.686378,76.876352,2024-07-23,16:02,4,Public intoxication,21,Lajpat Nagar Police Station,Clear,Afternoon,Yes
Fraud,28.494491,77.146692,2023-02-11,17:17,4,Public intoxication,30,Vasant Kunj Police Station,Fog,Evening,No
Harassment,28.480103,77.104354,2020-03-19,12:00,5,Stolen bike,29,Rohini North Police Station,Clear,Afternoon,Yes
Burglary,28.555339,76.92477,2020-03-03,11:11,5,Chain snatching,28,Vasant Kunj Police Station,Cloudy,Morning,Yes
Burglary,28.421825,77.148305,2020-02-29,04:51,4,Domestic violence,26,Connaught Place Police Station,Fog,Night,No
Burglary,28.483632,77.02091,2023-10-05,02:41,5,Domestic violence,30,Connaught Place Police Station,Fog,Night,Yes
Assault,28.727699,76.840677,2024-05-15,09:35,3,Domestic violence,54,Lajpat Nagar Police Station,Rain,Morning,No
Robbery,28.456656,77.1199,2020-12-16,08:04,2,Shoplifting,38,Kashmere Gate Police Station,Cloudy,Morning,Yes
Fraud,28.66357,76.826865,2024-09-18,10:57,5,Public intoxication,24,Rohini North Police Station,Rain,Morning,No
Murder,28.43155,76.827074,2022-11-13,13:00,5,Street robbery,19,Rohini North Police Station,Haze,Afternoon,Yes
Assault,28.542496,77.194479,2024-08-17,15:55,4,Car theft,51,Vasant Kunj Police Station,Rain,Afternoon,Yes
Murder,28.702822,77.004778,2022-12-26,00:01,4,Street robbery,58,Vasant Kunj Police Station,Haze,Night,Yes
Murder,28.727486,77.262929,2020-09-04,08:53,1,Car theft,36,Vasant Kunj Police Station,Clear,Morning,No
Burglary,28.477551,77.246337,2024-09-02,01:34,2,Shoplifting,24,Rohini North Police Station,Rain,Night,No
Assault,28.588971,76.872635,2020-11-23,20:25,2,Shoplifting,41,Dwarka Sector 10 Police Station,Cloudy,Night,No
Vandalism,28.69992,77.275805,2023-11-02,21:12,4,Cyber fraud,39,Kashmere Gate Police Station,Cloudy,Night,Yes
Assault,28.801273,76.838655,2021-10-07,17:15,4,Public intoxication,27,Rohini North Police Station,Rain,Evening,Yes
Burglary,28.591873,77.229253,2021-04-05,21:03,5,Cyber fraud,45,Dwarka Sector 10 Police Station,Fog,Night,No
Theft,28.460382,77.054869,2020-06-19,02:11,3,Cyber fraud,39,Kashmere Gate Police Station,Clear,Night,No
Assault,28.54405,77.088918,2020-07-25,14:50,3,Cyber fraud,52,Rohini North Police Station,Rain,Afternoon,No
Robbery,28.78405,76.951673,2022-01-31,16:10,1,Car theft,27,Connaught Place Police Station,Cloudy,Afternoon,No
Robbery,28.576555,76.90693,2023-10-17,13:26,5,Domestic violence,40,Rohini North Police Station,Haze,Afternoon,Yes
Assault,28.641395,77.157616,2021-09-10,00:33,5,Cyber fraud,57,Rohini North Police Station,Cloudy,Night,No
Theft,28.469379,76.901181,2022-11-17,09:58,4,Cyber fraud,26,Lajpat Nagar Police Station,Rain,Morning,No
Assault,28.824191,77.237643,2024-10-18,00:19,1,Domestic violence,30,Rohini North Police Station,Clear,Night,Yes
Assault,28.601539,77.26389,2022-12-23,06:20,1,Stolen bike,52,Connaught Place Police Station,Rain,Morning,No
Vandalism,28.480597,77.075722,2023-06-28,21:30,5,Cyber fraud,40,Rohini North Police Station,Cloudy,Night,Yes
Murder,28.62744,77.185956,2020-02-26,16:42,5,Stolen bike,53,Connaught Place Police Station,Fog,Afternoon,Yes
Fraud,28.701483,76.985332,2023-01-19,05:22,2,Car theft,20,Connaught Place Police Station,Clear,Morning,Yes
Murder,28.744851,76.977994,2023-08-25,23:31,4,Chain snatching,58,Lajpat Nagar Police Station,Cloudy,Night,Yes
Murder,28.702003,76.879892,2020-03-20,17:12,3,Public intoxication,20,Kashmere Gate Police Station,Haze,Evening,No
Burglary,28.530673,77.254297,2022-10-25,16:37,3,Chain snatching,44,Lajpat Nagar Police Station,Haze,Afternoon,No
Murder,28.831671,76.87662,2022-06-01,14:03,3,Street robbery,37,Connaught Place Police Station,Cloudy,Afternoon,Yes
Harassment,28.704471,77.064137,2022-04-11,06:10,1,Domestic violence,56,Lajpat Nagar Police Station,Fog,Morning,Yes
Theft,28.580352,77.018104,2020-12-02,09:04,5,Chain snatching,40,Dwarka Sector 10 Police Station,Rain,Morning,Yes
Murder,28.532833,77.020711,2023-01-21,07:28,5,Shoplifting,18,Dwarka Sector 10 Police Station,Fog,Morning,No
Murder,28.604291,77.125453,2022-04-28,03:23,2,Stolen bike,46,Dwarka Sector 10 Police Station,Clear,Night,Yes
Murder,28.772706,77.004,2021-05-05,00:44,1,Public intoxication,57,Connaught Place Police Station,Rain,Night,Yes
Vandalism,28.575923,77.270766,2024-07-27,11:51,2,Chain snatching,44,Rohini North Police Station,Fog,Morning,Yes
Theft,28.442583,77.11988,2021-02-17,16:34,2,Street robbery,41,Dwarka Sector 10 Police Station,Haze,Afternoon,No
Murder,28.723584,76.836182,2020-08-27,16:15,2,Domestic violence,40,Rohini North Police Station,Haze,Afternoon,No
Theft,28.717938,76.831212,2024-04-29,08:47,3,Domestic violence,54,Connaught Place Police Station,Fog,Morning,No
Theft,28.579019,76.936283,2024-04-05,02:28,4,Street robbery,47,Kashmere Gate Police Station,Haze,Night,No
Vandalism,28.53755,77.168056,2020-06-30,20:56,1,Shoplifting,46,Lajpat Nagar Police Station,Clear,Night,Yes
Assault,28.695597,77.157706,2021-12-20,07:15,4,Car theft,35,Kashmere Gate Police Station,Rain,Morning,Yes
Fraud,28.782734,76.85409,2024-05-21,03:04,2,Stolen bike,42,Kashmere Gate Police Station,Rain,Night,No
Vandalism,28.545566,77.079604,2020-09-26,01:16,4,Car theft,22,Kashmere Gate Police Station,Fog,Night,No
Harassment,28.817232,76.875628,2021-05-17,14:55,3,Domestic violence,39,Vasant Kunj Police Station,Rain,Afternoon,Yes
Vandalism,28.554294,76.958744,2020-05-21,09:44,3,Chain snatching,44,Rohini North Police Station,Clear,Morning,No
Fraud,28.624733,77.193246,2022-06-12,21:56,1,Shoplifting,46,Lajpat Nagar Police Station,Fog,Night,Yes
Burglary,28.520273,76.906663,2020-05-16,17:45,1,Chain snatching,53,Dwarka Sector 10 Police Station,Rain,Evening,No
Theft,28.766333,77.28292,2024-12-25,10:46,2,Street robbery,55,Vasant Kunj Police Station,Clear,Morning,Yes
Harassment,28.505274,77.191915,2020-01-06,18:20,3,Public intoxication,36,Vasant Kunj Police Station,Haze,Evening,Yes
Burglary,28.702513,76.994346,2021-01-03,07:47,1,Street robbery,27,Dwarka Sector 10 Police Station,Haze,Morning,No
Fraud,28.626221,77.121909,2023-02-17,11:33,1,Street robbery,56,Lajpat Nagar Police Station,Cloudy,Morning,No
Murder,28.54817,76.998748,2020-12-22,05:20,1,Public intoxication,27,Connaught Place Police Station,Clear,Morning,No
Robbery,28.615283,77.110329,2023-07-31,22:05,5,Public intoxication,43,Kashmere Gate Police Station,Clear,Night,No
Theft,28.798879,77.02909,2023-07-04,04:55,2,Domestic violence,37,Lajpat Nagar Police Station,Haze,Night,Yes
Theft,28.61637,77.285704,2021-09-16,11:40,2,Cyber fraud,36,Lajpat Nagar Police Station,Haze,Morning,No
Harassment,28.758351,77.109561,2024-04-15,18:22,5,Car theft,51,Connaught Place Police Station,Clear,Evening,No
Fraud,28.513155,76.821245,2024-10-01,14:47,3,Stolen bike,47,Dwarka Sector 10 Police Station,Clear,Afternoon,No
Vandalism,28.739188,77.16431,2022-02-14,03:15,3,Public intoxication,56,Kashmere Gate Police Station,Fog,Night,No
Theft,28.547092,77.044767,2024-03-12,16:22,2,Shoplifting,48,Lajpat Nagar Police Station,Cloudy,Afternoon,No
Fraud,28.589992,77.218798,2023-07-31,02:32,3,Chain snatching,40,Vasant Kunj Police Station,Haze,Night,Yes
Fraud,28.410301,77.032286,2022-06-11,10:13,4,Public intoxication,59,Dwarka Sector 10 Police Station,Cloudy,Morning,Yes
Burglary,28.712529,76.907806,2020-09-06,06:56,1,Chain snatching,53,Connaught Place Police Station,Haze,Morning,Yes
Vandalism,28.809667,76.927501,2023-09-15,14:30,3,Car theft,25,Dwarka Sector 10 Police Station,Fog,Afternoon,No
Harassment,28.58024,77.267616,2021-02-24,16:53,1,Public intoxication,35,Dwarka Sector 10 Police Station,Rain,Afternoon,No
Murder,28.76622,76.802536,2023-04-02,13:55,4,Public intoxication,57,Rohini North Police Station,Rain,Afternoon,Yes
Murder,28.587571,77.118542,2024-10-07,19:53,2,Public intoxication,60,Kashmere Gate Police Station,Fog,Evening,Yes
Murder,28.657524,77.186428,2023-09-25,01:02,3,Street robbery,47,Connaught Place Police Station,Cloudy,Night,Yes
Fraud,28.875772,76.954532,2021-11-02,09:23,4,Public intoxication,52,Lajpat Nagar Police Station,Haze,Morning,Yes
Murder,28.752077,76.94891,2023-12-08,10:03,3,Chain snatching,54,Dwarka Sector 10 Police Station,Haze,Morning,Yes
Harassment,28.856232,77.118909,2020-12-28,06:14,1,Cyber fraud,24,Kashmere Gate Police Station,Cloudy,Morning,Yes
Robbery,28.747781,77.289425,2020-09-01,02:36,5,Shoplifting,52,Vasant Kunj Police Station,Fog,Night,No
Murder,28.775027,76.955583,2021-01-29,04:33,5,Cyber fraud,32,Rohini North Police Station,Haze,Night,Yes
Fraud,28.809163,77.298716,2020-06-02,23:31,1,Cyber fraud,54,Kashmere Gate Police Station,Haze,Night,No
Murder,28.551907,77.255501,2021-10-20,10:36,2,Domestic violence,25,Connaught Place Police Station,Fog,Morning,Yes
Vandalism,28.692202,77.015275,2024-11-23,00:43,5,Public intoxication,30,Kashmere Gate Police Station,Rain,Night,No
Murder,28.839821,77.01683,2024-01-08,01:45,4,Street robbery,24,Rohini North Police Station,Haze,Night,Yes
Robbery,28.897976,76.934221,2021-07-25,20:36,3,Car theft,18,Connaught Place Police Station,Rain,Night,No
Vandalism,28.502597,76.840255,2022-12-21,19:18,4,Shoplifting,52,Lajpat Nagar Police Station,Cloudy,Evening,Yes
Vandalism,28.530961,77.249068,2022-05-18,12:04,1,Shoplifting,21,Rohini North Police Station,Rain,Afternoon,No
Harassment,28.641034,76.921826,2024-06-22,00:12,5,Public intoxication,49,Connaught Place Police Station,Clear,Night,Yes
Murder,28.741184,76.969122,2020-03-23,07:49,2,Stolen bike,49,Dwarka Sector 10 Police Station,Rain,Morning,No
Robbery,28.484226,77.193685,2021-10-14,08:12,2,Domestic violence,51,Connaught Place Police Station,Haze,Morning,Yes
Assault,28.591451,77.269538,2022-12-04,18:36,1,Street robbery,42,Vasant Kunj Police Station,Clear,Evening,Yes
Burglary,28.471475,77.076524,2024-12-28,12:30,5,Cyber fraud,54,Kashmere Gate Police Station,Cloudy,Afternoon,No
Theft,28.518199,76.963127,2020-11-13,02:28,3,Chain snatching,32,Lajpat Nagar Police Station,Cloudy,Night,No
Theft,28.544584,77.117736,2020-01-31,18:23,4,Stolen bike,23,Dwarka Sector 10 Police Station,Haze,Evening,No
Robbery,28.417399,76.861967,2024-10-06,11:55,4,Shoplifting,21,Lajpat Nagar Police Station,Fog,Morning,Yes
Theft,28.867066,77.176816,2022-07-17,20:43,5,Cyber fraud,21,Dwarka Sector 10 Police Station,Fog,Night,Yes
Robbery,28.632838,77.097906,2022-04-03,23:45,4,Shoplifting,20,Lajpat Nagar Police Station,Rain,Night,No
Theft,28.45062,77.207068,2020-11-06,14:53,5,Public intoxication,38,Dwarka Sector 10 Police Station,Rain,Afternoon,Yes
Harassment,28.404705,76.962409,2023-09-12,12:40,3,Shoplifting,30,Connaught Place Police Station,Haze,Afternoon,Yes
Robbery,28.465709,76.834228,2020-02-13,03:31,4,Public intoxication,50,Connaught Place Police Station,Haze,Night,No
Assault,28.412659,77.20616,2021-08-19,16:30,3,Domestic violence,22,Lajpat Nagar Police Station,Clear,Afternoon,No
Theft,28.625953,77.154636,2020-04-22,14:51,2,Chain snatching,23,Dwarka Sector 10 Police Station,Clear,Afternoon,No
Murder,28.827039,77.055884,2024-05-15,08:56,3,Chain snatching,58,Rohini North Police Station,Haze,Morning,Yes
Robbery,28.562808,77.134681,2021-12-03,02:44,4,Car theft,40,Connaught Place Police Station,Fog,Night,Yes
Vandalism,28.679177,77.099104,2021-07-20,16:01,3,Domestic violence,54,Lajpat Nagar Police Station,Fog,Afternoon,Yes
Assault,28.635234,76.80208,2020-01-02,03:12,1,Domestic violence,26,Dwarka Sector 10 Police Station,Fog,Night,Yes
Murder,28.591724,76.980462,2023-07-14,21:32,5,Chain snatching,30,Lajpat Nagar Police Station,Clear,Night,Yes
Burglary,28.584077,77.004201,2022-02-01,20:23,1,Stolen bike,58,Dwarka Sector 10 Police Station,Rain,Night,No
Robbery,28.788891,76.993094,2020-12-01,14:45,4,Cyber fraud,44,Connaught Place Police Station,Clear,Afternoon,Yes
Murder,28.479344,77.058575,2020-07-24,09:19,5,Cyber fraud,35,Dwarka Sector 10 Police Station,Haze,Morning,No
Harassment,28.417337,77.160527,2021-07-27,19:22,3,Cyber fraud,31,Lajpat Nagar Police Station,Fog,Evening,No
Harassment,28.47045,76.832562,2021-05-03,08:35,1,Street robbery,29,Kashmere Gate Police Station,Rain,Morning,Yes
Vandalism,28.521479,77.277377,2020-12-13,05:50,1,Stolen bike,19,Connaught Place Police Station,Haze,Morning,No
Murder,28.883105,77.2819,2023-01-14,20:43,5,Shoplifting,33,Dwarka Sector 10 Police Station,Fog,Night,Yes
Robbery,28.674013,76.863801,2024-10-12,03:25,2,Stolen bike,25,Kashmere Gate Police Station,Cloudy,Night,No
Theft,28.852263,77.175761,2020-02-15,05:55,5,Domestic violence,34,Lajpat Nagar Police Station,Fog,Morning,No
Vandalism,28.85351,77.277775,2020-09-14,19:12,3,Stolen bike,31,Dwarka Sector 10 Police Station,Cloudy,Evening,No
Burglary,28.475545,76.941465,2022-07-26,18:27,2,Car theft,22,Kashmere Gate Police Station,Clear,Evening,No
Burglary,28.685188,77.280463,2024-10-06,11:00,3,Domestic violence,28,Connaught Place Police Station,Fog,Morning,No
Fraud,28.607046,76.902732,2024-05-17,03:51,5,Shoplifting,27,Vasant Kunj Police Station,Fog,Night,No
Assault,28.66513,77.261998,2024-09-20,17:44,5,Stolen bike,22,Dwarka Sector 10 Police Station,Fog,Evening,No
Theft,28.792888,77.278348,2020-08-04,14:01,1,Stolen bike,44,Dwarka Sector 10 Police Station,Fog,Afternoon,No
Assault,28.855127,76.87612,2021-01-10,04:22,1,Stolen bike,39,Connaught Place Police Station,Fog,Night,No
Burglary,28.804247,77.106475,2023-02-01,05:26,1,Chain snatching,44,Dwarka Sector 10 Police Station,Haze,Morning,No
Harassment,28.728238,77.094997,2020-07-02,00:27,2,Chain snatching,52,Dwarka Sector 10 Police Station,Rain,Night,Yes
Fraud,28.684318,77.218476,2023-08-04,17:51,3,Shoplifting,57,Vasant Kunj Police Station,Clear,Evening,No
Harassment,28.862336,77.006318,2020-09-21,18:44,4,Public intoxication,31,Lajpat Nagar Police Station,Clear,Evening,Yes
Assault,28.508105,76.935666,2022-03-30,15:59,4,Car theft,47,Connaught Place Police Station,Fog,Afternoon,Yes
Theft,28.739847,76.942378,2022-08-10,15:41,5,Car theft,60,Rohini North Police Station,Haze,Afternoon,No
Fraud,28.413506,77.059186,2021-08-17,03:16,2,Domestic violence,35,Vasant Kunj Police Station,Fog,Night,Yes
Vandalism,28.47385,77.02005,2023-05-06,13:01,4,Chain snatching,36,Kashmere Gate Police Station,Fog,Afternoon,No
Theft,28.688034,76.935224,2023-09-15,06:23,2,Stolen bike,29,Vasant Kunj Police Station,Clear,Morning,No
